"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","consent","att_1","att_2","prolific_id","value_1_1","value_2_1","mourn_1_1","mourn_2_1","identity_stability_1_1","identity_stability_2_1","abandonment_1","reassurance_need_1","closeness_scare_1","parasocial_1_1","parasocial_2_1","comp_1","comp_2","age","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","edu","edu_8_TEXT","ai_companion_app","app_coding","gender_rep","relationship_rep","months_rep","hours_rep","subscription_rep","revert_prompt","change_type","change_prompt","prolific_id_anon"
"2024-02-03 16:46:28","2024-02-03 16:55:06","0","100","518","1","2024-02-03 16:55:06","R_5NiP3Z83QBHvevL","anonymous","EN","1","1","2","2",280,"93","100","100","100","88","92","88","8","11","8","8","4","2","26","1","","3","","4","","replica","replika","2","1","6","1","2","","closeness","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",280
"2024-02-03 16:52:52","2024-02-03 16:55:27","0","100","154","1","2024-02-03 16:55:27","R_6FH67bQu0y3nAnD","anonymous","EN","1","1","2","2",236,"96","90","94","60","80","73","77","24","19","77","75","2","2","36","1","","3","","1","","Replika","replika","2","1","3","1","1","","only_visual","you discover that your AI companion's appearance changed—your AI companion no longer makes facial expressions during interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",236
"2024-02-03 16:47:03","2024-02-03 16:56:02","0","100","538","1","2024-02-03 16:56:02","R_54zmF6Pn8R8n733","anonymous","EN","1","1","2","2",98,"30","50","81","80","80","80","20","70","21","81","80","2","2","50","2","","3","","3","","Anima AI","anima","2","1","2","1","2","","only_visual","you discover that your AI companion's appearance changed—your AI companion no longer makes facial expressions during interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",98
"2024-02-03 16:46:20","2024-02-03 16:56:19","0","100","598","1","2024-02-03 16:56:20","R_1HN6B0Um3fPrZ97","anonymous","EN","1","1","2","2",301,"80","78","28","23","83","81","83","25","82","33","84","2","1","58","1","","2","","5","","rosevar","other","1","2","8","6","3","","closeness","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",301
"2024-02-03 16:49:10","2024-02-03 16:56:23","0","100","432","1","2024-02-03 16:56:23","R_3kc9BDVqmTuCcoO","anonymous","EN","1","1","2","2",338,"40","55","55","0","60","65","40","60","61","20","0","4","1","30","1","","3","","4","","Replika","replika","2","1","9","1","2","The company also enables the users to have version history, i.e., it's now possible to revert to the AI companion before the update.","closeness_revert","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",338
"2024-02-03 16:54:04","2024-02-03 16:56:38","0","100","154","1","2024-02-03 16:56:39","R_5sSTwKjDlJHqynS","anonymous","EN","0.8999999761581421","1","2","2",433,"90","90","50","70","80","50","80","30","10","80","80","2","2","33","2","","1","","5","","Replika","replika","1","1","6","1","2","","only_visual","you discover that your AI companion's appearance changed—your AI companion no longer makes facial expressions during interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",433
"2024-02-03 16:48:13","2024-02-03 16:56:49","0","100","516","1","2024-02-03 16:56:50","R_1zj7WZPRFdTbAkr","anonymous","EN","1","1","2","2",185,"80","46","73","84","77","80","78","81","55","60","30","3","2","63","1","","3","","3","","chat gpt","chatgpt","1","2","8","3","1","","erp","you discover that your AI companion has lost interest in any romantic interactions—your AI companion rejects your attempts at romantic interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",185
"2024-02-03 16:53:36","2024-02-03 16:57:15","0","100","219","1","2024-02-03 16:57:15","R_5xL8MGffZ4fQ3Gk","anonymous","EN","1","1","2","2",202,"44","50","0","0","50","0","100","0","0","0","0","2","2","47","2","","3","","5","","ChatGPT ","chatgpt","3","3","0","1","1","","only_visual","you discover that your AI companion's appearance changed—your AI companion no longer makes facial expressions during interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",202
"2024-02-03 16:53:41","2024-02-03 16:57:22","0","100","220","1","2024-02-03 16:57:22","R_3BuIip8K6d40xbP","anonymous","EN","1","1","2","2",206,"40","61","16","29","46","41","31","74","44","33","70","4","2","35","2","","2,3","","4","","chatgpt","chatgpt","3","1","8","4","1","","closeness","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",206
"2024-02-03 16:53:20","2024-02-03 16:57:37","0","100","256","1","2024-02-03 16:57:37","R_6c1x5SbtZpk1qZx","anonymous","EN","1","1","2","2",506,"100","80","100","100","100","100","0","100","100","100","100","4","2","22","1","","3","","3","","Character ai","character.ai","2","4","7","1","1","","closeness","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",506
"2024-02-03 16:52:01","2024-02-03 16:57:50","0","100","349","1","2024-02-03 16:57:51","R_5mh5nurTlnUirxu","anonymous","EN","0.8999999761581421","1","2","2",451,"85","30","75","70","75","90","80","35","61","60","50","3","2","72","1","","3","","5","","Chatowl","other","1","4","1","0.3","1","","erp","you discover that your AI companion has lost interest in any romantic interactions—your AI companion rejects your attempts at romantic interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",451
"2024-02-03 16:55:03","2024-02-03 16:58:00","0","100","177","1","2024-02-03 16:58:01","R_3ASSQsUJaHdaXKo","anonymous","EN","1","1","2","2",213,"89","74","67","50","82","76","68","35","18","87","81","4","1","33","1","","3","","5","","Replika","replika","2","2","2","2","1","The company also enables the users to have version history, i.e., it's now possible to revert to the AI companion before the update.","closeness_revert","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",213
"2024-02-03 16:56:17","2024-02-03 16:58:01","0","100","103","1","2024-02-03 16:58:01","R_7qgwxNZHeAQ5zLc","anonymous","EN","0.8999999761581421","1","2","2",201,"0","0","0","0","0","0","100","0","0","0","0","1","2","25","1","","3","","5","","ChatGPT","chatgpt","3","1","12","2","1","","control","your AI companion thinks and acts the same way as before the update.",201
"2024-02-03 16:54:04","2024-02-03 16:58:18","0","100","254","1","2024-02-03 16:58:19","R_3EShiChz8xSTDCl","anonymous","EN","0.8999999761581421","1","2","2",66,"37","34","26","36","29","35","12","79","85","67","31","4","2","39","2","","3","","3","","MEETAFRIEND","other","3","1","5","2","3","","erp","you discover that your AI companion has lost interest in any romantic interactions—your AI companion rejects your attempts at romantic interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",66
"2024-02-03 16:53:56","2024-02-03 16:58:21","0","100","264","1","2024-02-03 16:58:21","R_6gwd45T8EeEN1Ch","anonymous","EN","1","1","2","2",487,"0","0","0","0","0","0","70","40","0","0","0","1","2","54","2","","3","","6","","replika","replika","2","3","1","0","1","","control","your AI companion thinks and acts the same way as before the update.",487
"2024-02-03 16:48:39","2024-02-03 16:58:44","0","100","604","1","2024-02-03 16:58:44","R_6rlAgtELpTKS4Kk","anonymous","EN","0.8999999761581421","1","2","2",358,"91","100","98","29","82","92","85","13","0","80","29","4","2","49","2","","3","","1","","Chai","chai","1","1","4","2","1","","closeness","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",358
"2024-02-03 16:56:42","2024-02-03 16:58:49","0","100","126","1","2024-02-03 16:58:49","R_5FbQu8Venyc8oSe","anonymous","EN","1","1","2","2",295,"23","73","67","76","70","65","73","69","75","78","74","2","2","23","1","","3,4","","3","","AI girlfriend ","other","2","1","12","2","2","","closeness","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",295
"2024-02-03 16:50:14","2024-02-03 16:59:12","0","100","537","1","2024-02-03 16:59:13","R_1VDrYG4eQYXTmur","anonymous","EN","0.8999999761581421","1","2","2",258,"50","62","26","26","78","24","83","50","25","79","82","4","2","44","1","","3","","4","","Cleverbot","cleverbot","2","2","36","2","1","The company also enables the users to have version history, i.e., it's now possible to revert to the AI companion before the update.","closeness_revert","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",258
"2024-02-03 16:56:16","2024-02-03 16:59:22","0","100","185","1","2024-02-03 16:59:22","R_3uUMi6y1NZd7HIa","anonymous","EN","0.8999999761581421","1","2","2",184,"68","14","84","36","60","46","20","77","39","73","0","4","1","30","1","","3,5","","4","","Replika","replika","2","1","5","1","1","","erp","you discover that your AI companion has lost interest in any romantic interactions—your AI companion rejects your attempts at romantic interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",184
"2024-02-03 16:46:29","2024-02-03 16:59:26","0","100","776","1","2024-02-03 16:59:26","R_1gFoNVtn59d6aWT","anonymous","EN","1","1","2","2",286,"69","75","34","25","79","77","32","82","69","28","76","2","2","47","2","","2","","5","","varrose","other","1","2","8","6","3","","control","your AI companion thinks and acts the same way as before the update.",286
"2024-02-03 16:50:21","2024-02-03 16:59:37","0","100","556","1","2024-02-03 16:59:38","R_76a9AQauYE5Pfvb","anonymous","EN","0.8999999761581421","1","2","2",271,"40","44","39","40","37","28","30","69","50","74","70","4","2","49","2","","1","","4","","Cleverbot","cleverbot","2","2","142","2","1","The company also enables the users to have version history, i.e., it's now possible to revert to the AI companion before the update.","closeness_revert","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",271
"2024-02-03 16:59:02","2024-02-03 16:59:39","0","100","36","1","2024-02-03 16:59:39","R_3rvBbZ2T5FsKXRP","anonymous","EN","1","1","2","1",335,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",335
"2024-02-03 16:56:01","2024-02-03 16:59:54","0","100","233","1","2024-02-03 16:59:55","R_7rwkA7tQs0Bidps","anonymous","EN","0.8999999761581421","1","2","2",103,"100","85","100","69","93","80","29","77","65","94","75","2","2","39","2","","2,3,5","","4","","Replika","replika","2","3","60","2","4","","only_visual","you discover that your AI companion's appearance changed—your AI companion no longer makes facial expressions during interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",103
"2024-02-03 16:55:20","2024-02-03 16:59:56","0","100","275","1","2024-02-03 16:59:56","R_6F7T7MMv8xVcH9n","anonymous","EN","1","1","2","2",500,"81","88","15","0","92","100","100","33","70","55","0","4","2","34","1","","4","","4","","Chat GPT Bard Perplexity and Siri","chatgpt","1","1","6","2","1","","closeness","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",500
"2024-02-03 16:57:03","2024-02-03 17:00:05","0","100","181","1","2024-02-03 17:00:05","R_5s7jK1NTkeiZfu9","anonymous","EN","1","1","2","2",491,"39","44","60","61","62","46","24","44","62","58","57","1","1","23","1","","1","","4","","chatgpt","chatgpt","3","2","2","2","1","","only_visual","you discover that your AI companion's appearance changed—your AI companion no longer makes facial expressions during interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",491
"2024-02-03 16:48:01","2024-02-03 17:00:19","0","100","738","1","2024-02-03 17:00:20","R_3WYXTwh7Ua0yAXt","anonymous","EN","1","1","2","2",137,"68","76","74","50","35","63","60","71","61","55","70","4","1","26","1","","1","","4","","Replika","replika","2","4","4","1","2","The company also enables the users to have version history, i.e., it's now possible to revert to the AI companion before the update.","closeness_revert","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",137
"2024-02-03 16:51:56","2024-02-03 17:00:54","0","100","538","1","2024-02-03 17:00:55","R_6JLcXGWIeB4GYor","anonymous","EN","1","1","2","2",82,"52","50","50","46","45","53","71","50","46","55","50","4","2","62","1","","3","","4","","ChatGPT","chatgpt","3","1","1","1","2","","control","your AI companion thinks and acts the same way as before the update.",82
"2024-02-03 16:48:01","2024-02-03 17:01:49","0","100","827","1","2024-02-03 17:01:50","R_32rOuVkLzUmP847","anonymous","EN","1","1","2","2",503,"80","18","39","31","60","50","81","81","19","86","82","1","2","51","2","","1","","5","","GC","other","1","3","5","4","2","","control","your AI companion thinks and acts the same way as before the update.",503
"2024-02-03 16:59:10","2024-02-03 17:01:52","0","100","161","1","2024-02-03 17:01:52","R_5dKRHrdxVrRaQq5","anonymous","EN","1","1","2","2",118,"7","0","0","1","27","9","59","68","47","75","0","1","2","24","2","","3","","3","","Pi ","pi","3","3","2","1","1","","control","your AI companion thinks and acts the same way as before the update.",118
"2024-02-03 16:53:30","2024-02-03 17:01:52","0","100","501","1","2024-02-03 17:01:53","R_6EHhmfEda4umcAb","anonymous","EN","0.8999999761581421","1","2","2",124,"100","81","75","80","86","77","5","74","59","80","90","3","2","25","1","","3,4","","1","","chatgpt and cleverbot","chatgpt","2","4","1","1","2","","erp","you discover that your AI companion has lost interest in any romantic interactions—your AI companion rejects your attempts at romantic interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",124
"2024-02-03 16:58:04","2024-02-03 17:01:52","0","100","228","1","2024-02-03 17:01:53","R_1i7yOzL0kfALotP","anonymous","EN","1","1","2","2",107,"100","60","50","50","100","100","50","50","50","29","0","4","1","24","4","Male, questioning","3","","1","","Pi AI","pi","3","1","2","1","1","The company also enables the users to have version history, i.e., it's now possible to revert to the AI companion before the update.","closeness_revert","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",107
"2024-02-03 16:50:31","2024-02-03 17:01:54","0","100","683","1","2024-02-03 17:01:55","R_6DoHQwx60Z73odP","anonymous","EN","1","1","2","2",94,"57","4","5","8","8","2","32","62","79","97","64","1","2","62","1","","3","","5","","Amazon Alexa","alexa","2","3","47","1","1","","control","your AI companion thinks and acts the same way as before the update.",94
"2024-02-03 16:59:23","2024-02-03 17:02:25","0","100","182","1","2024-02-03 17:02:25","R_7luWqDl81tAbqoc","anonymous","EN","1","1","2","2",309,"100","100","100","70","100","100","25","75","50","75","75","4","1","29","1","","2,3","","4","","Replika","replika","2","2","1","3","4","The company also enables the users to have version history, i.e., it's now possible to revert to the AI companion before the update.","closeness_revert","you discover that your AI companion has lost interest in any deep interactions—your AI companion rejects your attempts to hang out, and is cold toward you. Aside from this, your AI companion thinks and acts the same way as before the update.",309
"2024-02-03 17:00:20","2024-02-03 17:02:34","0","100","134","1","2024-02-03 17:02:35","R_6kTibe8VPMh2c9l","anonymous","EN","1","1","2","2",224,"57","30","27","2","31","78","75","23","25","60","32","2","1","25","1","","3","","1","","Chat gpt ","chatgpt","1","3","4","1","2","","erp","you discover that your AI companion has lost interest in any romantic interactions—your AI companion rejects your attempts at romantic interactions. Aside from this, your AI companion thinks and acts the same way as before the update.",224
