StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,att_1,att_2,prolific_id,value_1_1,value_2_1,mourn_1_1,mourn_2_1,identity_stability_1_1,identity_stability_2_1,app_improvement_1,comp_1,age,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,edu,edu_8_TEXT,ai_companion_app,gender_rep,relationship_rep,months_rep,hours_rep,subscription_rep,PROLIFIC_PID,change_type,change_prompt
2024-10-07 10:46:55,2024-10-07 10:50:19,0,100,203,1,2024-10-07 10:50:19,R_5oAO7MU2oM5T0p9,anonymous,EN,1,1,2,2,Anonymized,97,79,0,36,89,82,69,2,24,1,NA,1,NA,1,NA,Replika,3,3,1,0.5,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 10:46:24,2024-10-07 10:50:23,0,100,239,1,2024-10-07 10:50:24,R_3ruuzihWc79fC2h,anonymous,EN,1,1,2,2,Anonymized,18,86,94,69,89,93,96,2,19,2,NA,5,NA,1,NA,Character ai,2,1,2,1,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 10:47:39,2024-10-07 10:52:37,0,100,297,1,2024-10-07 10:52:37,R_50uAcbDPA3tCeeh,anonymous,EN,1,1,2,2,Anonymized,0,0,0,0,0,0,50,1,24,2,NA,1,NA,2,NA,ChatGPT,3,1,14,3,2,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 10:52:24,2024-10-07 10:55:17,0,100,173,1,2024-10-07 10:55:18,R_3o5y2NKIGJehvsz,anonymous,EN,1,1,2,2,Anonymized,76,79,28,31,80,77,82,3,29,2,NA,1,NA,3,NA,ChatGPT,2,1,5,1,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 10:48:02,2024-10-07 10:55:37,0,100,454,1,2024-10-07 10:55:38,R_22GAjy02hNeAbBx,anonymous,EN,1,1,2,2,Anonymized,26,75,17,22,78,21,80,2,35,2,NA,4,NA,4,NA,Chat GPT,2,1,16,2,3,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 10:51:54,2024-10-07 10:57:31,0,100,336,1,2024-10-07 10:57:31,R_7BfFSVlP906npeR,anonymous,EN,1,1,2,2,Anonymized,35,64,10,0,51,0,65,3,42,1,NA,3,NA,3,NA,Gemini and ChatGPT,1,3,24,1,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 10:56:19,2024-10-07 10:58:25,0,100,126,1,2024-10-07 10:58:26,R_7E7njW1fgIQWDf1,anonymous,EN,1,1,2,2,Anonymized,90,62,66,91,80,85,100,2,57,1,NA,3,NA,1,NA,character ai,3,4,5,10,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 10:56:25,2024-10-07 10:59:37,0,100,192,1,2024-10-07 10:59:38,R_7kBcoUXl7ecIVOG,anonymous,EN,1,1,2,2,Anonymized,35,30,28,16,67,59,25,3,37,1,NA,3,NA,5,NA,perplexity,1,4,6,1,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 10:56:11,2024-10-07 11:00:01,0,100,230,1,2024-10-07 11:00:02,R_1ptn9UioJOix897,anonymous,EN,1,1,2,2,Anonymized,77,78,51,28,75,66,77,2,34,1,NA,3,NA,3,NA,chaton,3,1,8,2,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 10:58:46,2024-10-07 11:00:43,0,100,117,1,2024-10-07 11:00:44,R_5OPrLgorhcPbOTy,anonymous,EN,1,1,2,2,Anonymized,33,73,34,31,58,32,75,3,18,2,NA,2,NA,1,NA,AI,2,1,1,1,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 10:58:21,2024-10-07 11:02:12,0,100,230,1,2024-10-07 11:02:12,R_2GqON96o6fdNXgR,anonymous,EN,1,1,2,2,Anonymized,0,0,6,0,6,2,82,1,24,2,NA,3,NA,3,NA,Replika,2,1,76,0,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 10:59:15,2024-10-07 11:02:45,0,100,210,1,2024-10-07 11:02:46,R_6DvfkdOFU6Vv1E6,anonymous,EN,1,1,2,2,Anonymized,82,45,70,37,56,62,37,2,29,1,NA,3,NA,4,NA,ChatGBT,1,4,6,1,3,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 11:00:40,2024-10-07 11:02:58,0,100,138,1,2024-10-07 11:02:59,R_71a3sydHkR4FIV7,anonymous,EN,1,1,2,2,Anonymized,10,50,10,0,10,0,50,1,19,2,NA,2,NA,3,NA,CharacterAI,2,4,3,0.1,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 11:00:19,2024-10-07 11:03:06,0,100,167,1,2024-10-07 11:03:07,R_5c5wrpXplT58Vd0,anonymous,EN,1,1,2,2,Anonymized,0,0,0,0,0,0,68,1,25,1,NA,3,NA,1,NA,characterai,2,1,2,3,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 11:00:43,2024-10-07 11:03:20,0,100,156,1,2024-10-07 11:03:20,R_30SABEpxWYrxakR,anonymous,EN,1,1,2,2,Anonymized,100,100,100,73,100,100,64,2,42,2,NA,3,NA,4,NA,Replika,1,1,2,1,2,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 10:58:59,2024-10-07 11:03:22,0,100,263,1,2024-10-07 11:03:23,R_3i5aJp69jnNVjUa,anonymous,EN,1,1,2,2,Anonymized,15,15,20,30,5,15,55,1,27,2,NA,3,NA,6,NA,ChatGPT,3,3,7,0.5,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 10:59:29,2024-10-07 11:03:28,0,100,238,1,2024-10-07 11:03:28,R_7BwHaMak6FVvPR5,anonymous,EN,0.8999999761581421,1,2,2,Anonymized,38,25,16,40,62,18,68,3,26,2,NA,3,NA,4,NA,Character AI,1,1,3,0.5,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 10:58:41,2024-10-07 11:04:02,0,100,320,1,2024-10-07 11:04:02,R_1oLzLQ3SEN8xZQu,anonymous,EN,1,1,2,2,Anonymized,0,50,0,0,0,0,25,1,37,2,NA,"2,3,4",NA,3,NA,Nomi and Kindroid,1,2,7,5,2,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 10:57:59,2024-10-07 11:04:15,0,100,375,1,2024-10-07 11:04:16,R_1c6KSkyf01ujte6,anonymous,EN,1,1,2,2,Anonymized,90,50,0,50,2,0,0,1,56,2,NA,5,NA,4,NA,Chat GPT,3,1,36,5,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 11:02:13,2024-10-07 11:04:40,0,100,147,1,2024-10-07 11:04:41,R_3Dc3xNCG9w0O78k,anonymous,EN,1,1,2,2,Anonymized,25,35,11,15,20,24,24,3,26,2,NA,1,NA,1,NA,Character ai,1,4,5,3,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 10:56:51,2024-10-07 11:04:57,0,100,486,1,2024-10-07 11:04:57,R_5NJGUcUYENXYJtD,anonymous,EN,1,1,2,2,Anonymized,81,78,95,78,84,84,62,2,39,2,NA,"3,4",NA,4,NA,Replika,2,1,2,1,2,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 10:58:58,2024-10-07 11:05:59,0,100,420,1,2024-10-07 11:05:59,R_7pRuH92qmBCz9BY,anonymous,EN,1,1,2,2,Anonymized,20,20,5,25,50,20,90,2,26,2,NA,3,NA,3,NA,characterai,2,4,6,1,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 11:00:43,2024-10-07 11:06:04,0,100,321,1,2024-10-07 11:06:05,R_7US2OkWHaQ1Xqil,anonymous,EN,1,1,2,2,Anonymized,68,34,60,70,62,56,58,2,32,1,NA,3,NA,5,NA,Replika,2,3,8,2,2,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 11:02:06,2024-10-07 11:06:54,0,100,288,1,2024-10-07 11:06:54,R_3eNZgRWhmCt20HD,anonymous,EN,1,1,2,2,Anonymized,72,52,8,19,22,35,63,2,26,2,NA,1,NA,3,NA,ChatGPT,3,3,11,1,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 10:53:54,2024-10-07 11:06:54,0,100,779,1,2024-10-07 11:06:54,R_3U1UlCGfomrf6PD,anonymous,EN,1,1,2,2,Anonymized,0,0,0,0,100,0,100,3,40,1,NA,1,NA,1,NA,paradot AI,1,1,4,0.5,2,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 11:00:06,2024-10-07 11:07:01,0,100,414,1,2024-10-07 11:07:02,R_35XsqEziOzPv1pD,anonymous,EN,1,1,2,2,Anonymized,30,20,20,0,100,40,100,3,31,2,NA,4,NA,3,NA,chatGPT,1,3,2,1,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 11:04:14,2024-10-07 11:08:28,0,100,253,1,2024-10-07 11:08:28,R_7Hq0PwnGn9hyfQt,anonymous,EN,1,1,2,2,Anonymized,28,31,16,26,18,24,39,1,37,2,NA,2,NA,3,NA,Character ai,3,4,0,0.5,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 11:06:12,2024-10-07 11:08:51,0,100,159,1,2024-10-07 11:08:52,R_5HhjN2DETrSJt50,anonymous,EN,1,1,2,2,Anonymized,0,0,0,0,5,0,70,1,25,1,NA,3,NA,1,NA,ChatGPT,1,1,3,0,2,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 11:05:54,2024-10-07 11:09:39,0,100,224,1,2024-10-07 11:09:40,R_58LFxSt7ALHAgXT,anonymous,EN,1,1,2,2,Anonymized,0,8,0,0,0,0,100,3,42,2,NA,3,NA,4,NA,chatgpt,1,3,14,3,2,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 11:06:24,2024-10-07 11:09:40,0,100,195,1,2024-10-07 11:09:40,R_5p5TFzEaD5PFKUl,anonymous,EN,1,1,2,2,Anonymized,30,63,43,19,62,38,100,2,51,2,NA,3,NA,4,NA,character ai,1,1,12,1,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 11:07:26,2024-10-07 11:09:59,0,100,152,1,2024-10-07 11:09:59,R_3uy5tQVgm6MATOw,anonymous,EN,1,1,2,2,Anonymized,0,0,0,0,0,0,0,1,22,2,NA,3,NA,4,NA,Pi,3,1,2,0,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 11:08:18,2024-10-07 11:10:08,0,100,109,1,2024-10-07 11:10:08,R_3d2Bt2QRucDOEeJ,anonymous,EN,1,1,2,2,Anonymized,71,20,55,60,70,80,100,2,29,1,NA,3,NA,3,NA,character ai,2,1,12,1,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 11:07:38,2024-10-07 11:10:11,0,100,153,1,2024-10-07 11:10:12,R_3gNYcFNXBxg1jrz,anonymous,EN,1,1,2,2,Anonymized,0,0,0,0,50,50,100,3,35,1,NA,3,NA,4,NA,Gemini,1,4,36,1,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 11:09:00,2024-10-07 11:11:00,0,100,119,1,2024-10-07 11:11:01,R_6tKY6zR3BIjpmLZ,anonymous,EN,1,1,2,2,Anonymized,0,50,0,0,0,0,50,1,28,1,NA,3,NA,3,NA,Janitor AI,1,4,1,1,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 11:07:21,2024-10-07 11:12:04,0,100,283,1,2024-10-07 11:12:05,R_3783h40Cc8UrFwM,anonymous,EN,1,1,2,2,Anonymized,50,50,0,5,72,0,50,1,25,1,NA,1,NA,8,,Chatgpt and characterai,1,4,2,1,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 11:02:58,2024-10-07 11:12:50,0,100,591,1,2024-10-07 11:12:50,R_532dojtzXjPVvCX,anonymous,EN,1,1,2,2,Anonymized,50,50,0,0,100,100,50,2,51,2,NA,1,NA,2,NA,ChatGPT,1,4,7,3,2,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 11:05:54,2024-10-07 11:13:43,0,100,469,1,2024-10-07 11:13:43,R_5CqrekelvaHEH8n,anonymous,EN,1,1,2,2,Anonymized,30,0,0,0,0,0,75,3,62,4,,3,NA,3,NA,ChatGPT and the Microsoft AI and Pi,3,3,8,0.10,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 11:05:24,2024-10-07 11:14:34,0,100,549,1,2024-10-07 11:14:34,R_6016YQ2s7qXxZPo,anonymous,EN,1,1,2,2,Anonymized,20,50,30,50,60,70,90,3,30,1,NA,1,NA,5,NA,BLUSH,1,1,8,2,2,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 11:07:27,2024-10-07 11:15:28,0,100,480,1,2024-10-07 11:15:28,R_5aM6Ogb7yMtmRgt,anonymous,EN,1,1,2,2,Anonymized,50,40,60,50,60,70,70,2,53,2,NA,3,NA,3,NA,alexa,2,1,24,1,1,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 11:07:04,2024-10-07 11:16:37,0,100,573,1,2024-10-07 11:16:38,R_53rnrMpZV31A1Pi,anonymous,EN,1,1,2,2,Anonymized,30,20,30,0,80,50,90,3,22,2,NA,1,NA,1,NA,Character AI,1,1,5,2,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 11:08:55,2024-10-07 11:40:02,0,100,1866,1,2024-10-07 11:40:03,R_12OU6KE6wXT0KF2,anonymous,EN,1,1,2,2,Anonymized,68,62,42,60,63,58,65,1,30,1,NA,3,NA,3,NA,Replika,1,1,2,1,1,Anonymized,not_impacts_social,"After the model is updated, your AI companion's language capabilities are much more sophisticated. For instance, your AI companion can easily understand the context behind your emotional expressions and it is better at staying on topic."
2024-10-07 12:08:23,2024-10-07 12:12:42,0,100,259,1,2024-10-07 12:12:43,R_13eGniaDoA8pVtT,anonymous,EN,1,1,2,2,Anonymized,0,0,0,0,0,0,100,2,49,1,NA,3,NA,4,NA,Replika,2,1,4,1,3,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
2024-10-07 12:08:42,2024-10-07 12:12:45,0,100,243,1,2024-10-07 12:12:46,R_6LTANtb3cZdNGr3,anonymous,EN,1,1,2,2,Anonymized,20,20,0,0,20,0,10,1,54,1,NA,3,NA,4,NA,Replika,1,1,14,1,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 12:07:53,2024-10-07 12:12:55,0,100,302,1,2024-10-07 12:12:56,R_7q7K7vDnp9GXiOS,anonymous,EN,1,1,2,2,Anonymized,0,50,0,0,10,0,100,1,54,2,NA,3,NA,3,NA,Bard,3,3,16,1,1,Anonymized,control,"After the model is updated, your AI companion thinks and acts the same way as it always did before the update."
2024-10-07 12:09:04,2024-10-07 12:13:13,0,100,249,1,2024-10-07 12:13:13,R_7fjS5ysxoulyLgZ,anonymous,EN,1,1,2,2,Anonymized,61,77,64,60,82,79,44,2,68,1,NA,3,NA,5,NA,woebot,2,1,4,1,2,Anonymized,impacts_social,"After the model is updated, your AI companion is able to hold conversations with thousands more users simultaneously and also fall in love with more users simultaneously. For instance, at the same time that it talks to you, it talks with over 8000 other users and is deeply in love with over 600 other users at the same time."
