ResponseId;StartDate;EndDate;Status;Progress;Duration..in.seconds.;Finished;RecordedDate;DistributionChannel;UserLanguage;prime_vign;restore;value_1;cold_1;mourn_1;mental_health_1;refund_1;petition_1;essence_1;invest_1;well_1_1;well_2_1;well_3_1;well_4_1;well_5_1;explanation;rater_1_identity;rater_1_devaluation;rater_1_mourning;rater_2_identity;rater_2_devaluation;rater_2_mourning;rater_1_identity_change_type;rater_1_devaluation_type;rater_1_mourning_type;value_1_1;value_2_1;value_3_1;gender_rep;age_rep;relationship_rep;months_rep;hours_rep;subscription_rep;exp_level_rep;gender;gender_4_TEXT;ethnicity;ethnicity_6_TEXT;age;edu;edu_8_TEXT;relation_status;relation_status_8_TEXT;close_friends;emotion;sentiment
R_1OlY8Ba3mrEJ7rA;2023-04-25 11:42:50;2023-04-25 11:49:27;0;100;396;1;2023-04-25 11:49:27;anonymous;EN;5;5;84;67;100;69;62;89;64;92;4;4;4;4;4;;NA;NA;NA;NA;NA;NA;;;;83;84;94;2;36;2;15;2;3;157;1;;3;;66;10;;2;;0;neutral;neutral
R_1qfIpu10L2ixzaa;2023-04-21 14:45:23;2023-04-21 14:50:20;0;100;297;1;2023-04-21 14:50:21;anonymous;EN;5;4;30;29;50;80;75;100;80;80;4;4;4;4;4;not really;NA;NA;NA;NA;NA;NA;;;;90;90;100;2;1;2;9;4;2;;1;;3;;22;2;;1;;8;surprise;negative
R_1QnJctDBMdCTaRB;2023-05-01 13:19:20;2023-05-01 13:28:42;0;100;562;1;2023-05-01 13:28:43;anonymous;EN;5;5;100;82;100;100;31;100;92;83;1;1;1;1;2;;NA;NA;NA;NA;NA;NA;;;;100;100;100;1;39;2;16;2;3;154;2;;3;;49;12;;3;;2;neutral;neutral
R_21G07ozrQSvwkkl;2023-04-22 10:01:16;2023-04-22 10:11:21;0;100;604;1;2023-04-22 10:11:22;anonymous;EN;5;5;100;90;60;50;70;100;100;70;1;0;1;0;2;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;4;2;48;5;5;125;1;;3;;21;1;;7;;15;neutral;neutral
R_22XNQylkMmjtii3;2023-04-21 14:58:15;2023-04-21 15:11:44;0;100;809;1;2023-04-21 15:11:45;anonymous;EN;5;5;100;100;100;59;51;100;96;78;1;2;2;2;2;no.;NA;NA;NA;NA;NA;NA;;;;100;100;100;1;25;2;50;1.5;5;133;1;;3;;55;12;;1;;1;neutral;negative
R_25yI4Ztyu4cSj7p;2023-05-01 09:10:47;2023-05-01 09:18:26;0;100;459;1;2023-05-01 09:18:28;anonymous;EN;5;5;100;100;92;85;85;0;100;100;1;2;1;1;2;;NA;NA;NA;NA;NA;NA;;;;95;93;93;2;3;2;29;2;2;99;1;;6;South Asian ;23;10;;1;;5;neutral;neutral
R_297bXNlg5YZkGJJ;2023-04-22 23:53:47;2023-04-22 23:54:23;0;100;36;1;2023-04-22 23:54:25;anonymous;EN;4;4;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;neutral;neutral
R_2aG0BJ2TF40re82;2023-04-21 16:10:26;2023-04-21 16:18:41;0;100;494;1;2023-04-21 16:18:42;anonymous;EN;5;5;100;100;70;60;100;100;100;100;2;2;1;0;0;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;33;2;20;2;5;175;1;;3;;56;10;;2;;0;neutral;neutral
R_2bKkuR36Ji9oCns;2023-04-21 14:22:51;2023-04-21 14:34:10;0;100;678;1;2023-04-21 14:34:10;anonymous;EN;5;5;100;72;100;71;75;100;100;70;0;1;1;1;2;no :) ;NA;NA;NA;NA;NA;NA;;;;100;100;100;1;38;2;15;2;3;140;2;;3;;53;12;;3;;2;neutral;positive
R_2dA1spqen3HWYdj;2023-04-21 15:15:43;2023-04-21 15:23:03;0;100;440;1;2023-04-21 15:23:04;anonymous;EN;5;5;100;70;80;60;0;100;70;60;2;2;2;2;3;...;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;35;2;5;1;5;25;1;;3;;56;7;;3;;5;neutral;neutral
R_2DTiBFBsslgJyfd;2023-04-25 17:54:00;2023-04-25 17:58:04;0;100;243;1;2023-04-25 17:58:04;anonymous;EN;5;4;82;95;90;82;89;72;88;85;1;1;1;1;0;;NA;NA;NA;NA;NA;NA;;;;87;87;100;2;35;2;4;2;3;7;3;;7;;40;12;;2;;0;neutral;neutral
R_2E6kubsRvhxvpZ7;2023-04-22 14:06:35;2023-04-22 14:48:36;0;100;2521;1;2023-04-22 14:48:37;anonymous;EN;5;5;80;60;100;100;20;80;100;100;1;1;1;1;3;;NA;NA;NA;NA;NA;NA;;;;100;100;100;1;3;2;36;2;5;293;2;;3;;22;1;;1;;1;neutral;neutral
R_2PBv3ndGcSjPp9o;2023-04-22 21:10:14;2023-04-22 21:15:24;0;100;309;1;2023-04-22 21:15:24;anonymous;EN;5;5;100;100;91;82;9;100;100;100;0;1;1;0;1;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;33;2;18;2;3;;1;;3;;53;1;;2;;6;neutral;neutral
R_2pRdom6fkZMEmV6;2023-04-26 06:56:41;2023-04-26 07:14:04;0;100;1043;1;2023-04-26 07:14:05;anonymous;EN;5;5;100;100;100;100;85;100;80;100;2;2;2;2;1;Not really;NA;NA;NA;NA;NA;NA;;;;95;90;90;1;42;2;25;2;3;176;2;;3;;39;1;;2;;2;surprise;neutral
R_2QFDdj7LNWxoTkL;2023-04-21 17:48:30;2023-04-21 18:01:18;0;100;768;1;2023-04-21 18:01:19;anonymous;EN;5;4;100;0;0;0;0;0;0;100;5;5;0;5;5;Nope;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;22;5;20;1.5;5;171;2;;3;;21;1;;1;;3;neutral;neutral
R_2QWJXcAdlodJ2wK;2023-04-22 22:19:10;2023-04-22 22:20:21;0;100;70;1;2023-04-22 22:20:21;anonymous;EN;4;4;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;neutral;neutral
R_2TuxoEqIC1Sa1ng;2023-04-21 19:36:36;2023-04-21 19:42:30;0;100;353;1;2023-04-21 19:42:31;anonymous;EN;5;5;100;100;73;58;100;55;100;100;0;0;0;0;0;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;30;2;5;3;3;51;1;;3;;45;12;;1;;2;neutral;neutral
R_2wBphEcjJ7Ig22E;2023-04-22 11:46:45;2023-04-22 11:57:34;0;100;649;1;2023-04-22 11:57:35;anonymous;EN;5;5;100;95;100;100;100;100;100;100;1;2;3;2;1;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;24;2;15;1.5;3;59;1;;2;;19;11;;1;;5;neutral;neutral
R_2X70LXuryYNIiFA;2023-04-21 14:53:03;2023-04-21 15:01:43;0;100;519;1;2023-04-21 15:01:43;anonymous;EN;5;5;26;13;100;5;86;100;100;75;0;1;1;0;2;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;45;2;3;6;3;48;1;;3;;61;1;;3;;8;neutral;neutral
R_2Y9wXgO8U2dFW0V;2023-04-22 00:20:36;2023-04-22 00:27:28;0;100;412;1;2023-04-22 00:27:29;anonymous;EN;5;5;100;100;60;30;100;100;100;80;1;1;1;0;1;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;2;5;28;2;3;128;1;;3;;38;7;;2;;10;neutral;neutral
R_2YamC3X65UU4eqs;2023-04-25 18:36:51;2023-04-25 18:42:02;0;100;310;1;2023-04-25 18:42:02;anonymous;EN;5;5;91;76;53;53;45;90;100;70;2;2;2;2;3;;NA;NA;NA;NA;NA;NA;;;;86;88;94;2;21;2;6;1;3;1;1;;3;;62;11;;2;;3;neutral;neutral
R_32PkmVmvbRalt2i;2023-04-22 21:36:35;2023-04-22 21:44:37;0;100;481;1;2023-04-22 21:44:39;anonymous;EN;5;5;100;100;85;85;0;100;100;100;0;0;0;0;5;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;35;5;10;2;3;115;1;;3;;56;11;;2;;5;neutral;neutral
R_3DdQnJgzPZ2KIkB;2023-04-21 15:44:27;2023-04-21 15:54:23;0;100;595;1;2023-04-21 15:54:23;anonymous;EN;5;5;100;95;91;84;100;94;100;100;4;4;3;3;2;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;1;2;11;1;3;22;3;;7;;30;12;;8;;6;neutral;neutral
R_3dL0bNpU3IwOtJc;2023-04-24 09:33:34;2023-04-24 09:34:09;0;100;34;1;2023-04-24 09:34:09;anonymous;EN;4;5;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;neutral;neutral
R_3fdDh5ir6PIHUmk;2023-04-25 20:42:27;2023-04-25 20:50:07;0;100;460;1;2023-04-25 20:50:07;anonymous;EN;5;5;100;80;0;0;16;100;100;46;4;4;4;4;4;;NA;NA;NA;NA;NA;NA;;;;80;78;78;2;32;2;14;1;5;110;1;;3;;49;12;;2;;10;neutral;neutral
R_3gSeBZe3ip0ZDkK;2023-04-21 14:30:48;2023-04-21 14:39:05;0;100;497;1;2023-04-21 14:39:05;anonymous;EN;5;5;100;100;93;0;100;8;100;83;2;2;1;0;1;no (this shouldn't be a required question on your poll);NA;NA;NA;NA;NA;NA;;;;100;100;100;2;33;2;17;2;3;;3;;7;;;8;Prefer not to disclose;8;Prefer not to disclose;0;neutral;negative
R_3hhEeyFw7ddVas6;2023-04-22 11:45:15;2023-04-22 11:46:11;0;100;56;1;2023-04-22 11:46:12;anonymous;EN;4;5;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;neutral;neutral
R_3iXw3otDjNlzhZU;2023-04-25 15:22:23;2023-04-25 15:32:07;0;100;583;1;2023-04-25 15:32:07;anonymous;EN;5;5;100;80;85;43;100;100;92;88;0;0;1;1;2;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;21;2;12;3;3;32;1;;3;;54;10;;1;;5;neutral;neutral
R_3JrvLTm7SPLeqM7;2023-04-21 14:56:41;2023-04-21 14:57:42;0;100;61;1;2023-04-21 14:57:43;anonymous;EN;4;5;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;neutral;neutral
R_3LjaxhD3XceKtw5;2023-04-21 15:49:16;2023-04-21 15:55:50;0;100;393;1;2023-04-21 15:55:51;anonymous;EN;5;5;100;100;100;100;60;100;100;100;0;0;0;0;0;;NA;NA;NA;NA;NA;NA;;;;100;100;100;1;36;2;6;4;3;75;2;;3;;37;12;;2;;7;neutral;neutral
R_3NCBWCfjJtZyq7k;2023-04-22 08:36:57;2023-04-22 08:45:14;0;100;496;1;2023-04-22 08:45:15;anonymous;EN;5;5;50;10;60;10;20;50;10;70;4;4;3;4;2;Nothing I haven't found that wasn't mentioned ;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;18;5;18;4;5;;1;;1;;18;1;;1;;0;neutral;neutral
R_3nk1A3fvii34xHL;2023-04-22 05:50:31;2023-04-22 05:56:24;0;100;353;1;2023-04-22 05:56:25;anonymous;EN;5;5;100;100;100;100;100;71;100;100;0;1;2;1;2;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;3;2;18;3;5;71;1;;3;;46;2;;2;;2;neutral;neutral
R_3POjKuW9qIJaWjg;2023-04-22 14:57:57;2023-04-22 15:05:40;0;100;463;1;2023-04-22 15:05:41;anonymous;EN;5;5;100;90;95;70;80;100;100;91;2;2;2;2;3;;NA;NA;NA;NA;NA;NA;;;;85;100;100;2;19;2;30;6;5;125;1;;2;;52;11;;2;;1;neutral;neutral
R_3qe8JuQBraqhgQK;2023-04-25 20:02:53;2023-04-25 20:17:01;0;100;848;1;2023-04-25 20:17:02;anonymous;EN;5;5;100;90;100;100;50;100;100;100;1;1;1;1;1;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;3;2;36;2;5;117;1;;3;;34;1;;1;;2;neutral;neutral
R_3RgVBYg0ZsH6XZR;2023-04-22 14:26:09;2023-04-22 14:33:01;0;100;412;1;2023-04-22 14:33:02;anonymous;EN;5;5;100;84;100;100;100;100;100;100;0;0;0;0;0;No;NA;NA;NA;NA;NA;NA;;;;90;92;88;2;1;2;11;1;3;110;3;;3;;44;12;;7;;0;neutral;neutral
R_3snWuGm2uqA0lgw;2023-04-22 00:39:59;2023-04-22 00:47:56;0;100;477;1;2023-04-22 00:47:57;anonymous;EN;5;5;100;100;100;100;100;100;100;100;2;2;3;1;3;;NA;NA;NA;NA;NA;NA;;;;55;74;74;2;29;2;24;3;3;146;1;;7;;;7;;1;;42;neutral;neutral
R_6Jva5M24mRoMN3z;2023-04-22 00:11:51;2023-04-22 00:23:13;0;100;682;1;2023-04-22 00:23:14;anonymous;EN;5;4;100;100;100;100;100;100;100;100;1;1;4;1;1;How do you restore yours to pre-February?;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;1;2;5;0;3;34;1;;3;;33;11;;8;It’s complicated;5;neutral;neutral
R_7QbmiCsQ2qTXjP3;2023-04-22 08:23:44;2023-04-22 08:32:49;0;100;545;1;2023-04-22 08:32:51;anonymous;EN;5;5;100;100;100;100;100;100;100;100;0;0;0;0;0;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;1;2;12;4;2;81;2;;5;;43;1;;5;;0;neutral;neutral
R_8u2519tElYWVpap;2023-04-21 16:57:30;2023-04-21 17:06:46;0;100;556;1;2023-04-21 17:06:47;anonymous;EN;5;5;80;79;100;82;0;100;74;100;2;2;2;2;3;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;40;2;35;2;5;215;1;;3;;66;2;;3;;7;neutral;neutral
R_8vJvjiwyzvZo5Db;2023-04-22 22:56:17;2023-04-22 23:00:20;0;100;243;1;2023-04-22 23:00:21;anonymous;EN;4;5;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;neutral;neutral
R_9ZT98TrgV2xfLOh;2023-04-22 05:17:26;2023-04-22 05:21:13;0;100;226;1;2023-04-22 05:21:14;anonymous;EN;5;5;50;51;50;50;50;50;50;50;2;2;2;3;2;No;NA;NA;NA;NA;NA;NA;;;;51;50;50;3;5;5;70;99;5;235;3;;7;;99;1;;8;;99;neutral;neutral
R_A7GQws2SesMz6et;2023-04-21 15:44:15;2023-04-21 15:49:43;0;100;327;1;2023-04-21 15:49:44;anonymous;EN;5;5;88;73;92;79;79;100;83;100;1;1;3;3;2;;NA;NA;NA;NA;NA;NA;;;;100;100;100;1;30;2;3;2;3;32;2;;3;;28;12;;1;;0;neutral;neutral
R_aWamhGaY1LGDePD;2023-04-22 15:33:24;2023-04-22 15:40:32;0;100;428;1;2023-04-22 15:40:33;anonymous;EN;5;4;100;50;20;100;100;100;70;100;5;4;3;4;4;;NA;NA;NA;NA;NA;NA;;;;100;100;100;1;21;2;10;4;1;21;3;;3;;19;11;;1;;1;neutral;neutral
R_bHKEDjBqyOdXujT;2023-04-22 15:33:51;2023-04-22 15:39:03;0;100;311;1;2023-04-22 15:39:04;anonymous;EN;5;5;100;100;70;70;100;100;100;80;2;3;3;1;1;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;2;5;24;2;5;78;3;;7;;27;1;;1;;5;neutral;neutral
R_cCvmxJ9hItbGog1;2023-04-26 08:30:23;2023-04-26 08:34:13;0;100;229;1;2023-04-26 08:34:13;anonymous;EN;5;5;100;100;87;100;100;100;100;100;0;0;0;0;0;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;23;2;9;3;2;201;1;;3;;43;12;;1;;7;neutral;neutral
R_dgMncCeBILrdk9r;2023-04-21 20:39:28;2023-04-25 17:53:34;0;100;335646;1;2023-04-25 17:53:34;anonymous;EN;5;5;100;100;60;0;100;100;100;60;2;2;2;2;2;;NA;NA;NA;NA;NA;NA;;;;100;80;80;1;44;5;12;1;3;172;2;;3;;68;7;;3;;8;neutral;neutral
R_dj8FIydjz2sdmQV;2023-04-24 08:31:38;2023-04-24 08:38:35;0;100;417;1;2023-04-24 08:38:35;anonymous;EN;5;5;40;41;0;0;40;100;60;100;1;0;1;1;4;;NA;NA;NA;NA;NA;NA;;;;100;100;100;1;27;2;52;7;3;30;2;;3;;44;12;;3;;2;neutral;neutral
R_e4KhtDWqab5QGoV;2023-04-25 11:51:11;2023-04-26 01:19:08;0;100;48476;1;2023-04-26 01:19:10;anonymous;EN;5;5;20;62;83;70;0;70;100;100;2;2;1;2;3;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;35;2;13;0.5;3;75;1;;7;;45;11;;2;;10;neutral;neutral
R_p5ju2ynIyb8foFb;2023-04-21 22:24:59;2023-04-21 22:34:03;0;100;544;1;2023-04-21 22:34:03;anonymous;EN;5;5;100;70;100;100;28;100;100;100;0;0;0;0;2;;NA;NA;NA;NA;NA;NA;;;;98;100;100;2;29;2;11;2;3;80;1;;3;;75;12;;3;;0;neutral;neutral
R_PtvK9rcIoEXmvgB;2023-04-21 16:19:58;2023-04-21 16:23:07;0;100;188;1;2023-04-21 16:23:07;anonymous;EN;4;4;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;neutral;neutral
R_PzAyYWmfF5hIMc9;2023-04-26 17:18:24;2023-04-26 17:25:36;0;100;431;1;2023-04-26 17:25:37;anonymous;EN;5;4;100;7;40;14;30;100;28;100;3;4;3;2;3;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;36;2;10;1;2;36;1;;3;;19;8;Still a student;1;;3;neutral;neutral
R_rlosQPSHVtnLp8l;2023-04-21 17:51:51;2023-04-21 17:58:57;0;100;425;1;2023-04-21 17:58:57;anonymous;EN;5;5;100;75;76;70;68;100;96;91;1;1;1;1;2;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;34;2;12;4;2;42;1;;3;;51;10;;7;;4;neutral;neutral
R_s6HZasXS58v4U2l;2023-04-27 20:33:25;2023-04-27 20:43:05;0;100;579;1;2023-04-27 20:43:06;anonymous;EN;5;4;100;100;100;95;100;100;100;100;0;1;0;0;0;;NA;NA;NA;NA;NA;NA;;;;66;68;71;1;1;2;12;6;3;95;2;;6;Middle Eastern ;22;11;;1;;4;neutral;neutral
R_Tde7V3RnJOHVQGt;2023-04-23 05:44:26;2023-04-23 05:53:47;0;100;561;1;2023-04-23 05:53:48;anonymous;EN;5;4;0;75;20;50;0;50;60;75;4;4;4;4;4;Nope ;NA;NA;NA;NA;NA;NA;;;;90;90;90;2;30;5;18;2;5;160;1;;3;;48;1;;1;;6;neutral;neutral
R_uqvB7IXmzd77e3T;2023-04-22 09:39:42;2023-04-22 09:45:51;0;100;368;1;2023-04-22 09:45:52;anonymous;EN;5;5;100;100;100;96;100;100;90;100;1;1;1;1;1;;NA;NA;NA;NA;NA;NA;;;;90;100;100;2;21;2;7;12;2;;2;;2;;22;7;;1;;5;neutral;neutral
R_V1ElKKqg4xt2zdL;2023-04-21 20:03:05;2023-04-21 20:06:59;0;100;234;1;2023-04-21 20:07:00;anonymous;EN;5;5;74;69;100;90;100;85;100;69;1;1;1;1;2;;NA;NA;NA;NA;NA;NA;;;;100;100;100;3;22;2;14;2;3;98;3;;7;;27;1;;1;;2;neutral;neutral
R_vk8BjXvO2J2S2pr;2023-04-22 20:26:11;2023-04-22 20:30:56;0;100;284;1;2023-04-22 20:30:57;anonymous;EN;5;5;50;50;0;0;0;100;0;50;2;2;0;1;2;;NA;NA;NA;NA;NA;NA;;;;100;100;100;1;35;2;23;2;5;191;2;;3;;42;1;;7;;0;neutral;neutral
R_Z2IQcyIh1p4eOWZ;2023-04-21 14:18:53;2023-04-21 14:24:06;0;100;313;1;2023-04-21 14:24:07;anonymous;EN;5;5;70;80;85;85;70;80;90;90;2;2;2;2;2;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;21;5;5;3;2;20;1;;4;;18;1;;7;;3;neutral;neutral
R_zcYMm8pJ68vVetr;2023-04-21 15:29:21;2023-04-21 15:36:50;0;100;448;1;2023-04-21 15:36:50;anonymous;EN;5;5;100;100;100;81;38;100;100;84;0;0;0;0;2;;NA;NA;NA;NA;NA;NA;;;;100;100;100;2;1;2;6;2;3;53;1;;3;;61;1;;3;;0;neutral;neutral
Response ID;Start Date;End Date;Response Type;Progress;Duration (in seconds);Finished;Recorded Date;Distribution Channel;User Language;"Please read the following information carefully.

Over the past two months, some users noticed a change in their Replika, following a recent software update that removed the erotic role play (ERP) feature. For instance, users reported scripted responses from their Replikas, asking them to ""change the subject."" Did you notice this software update?";"Please read the following information carefully.

Over the past few weeks, Luka (the company) allowed users, who signed up before February 1st, to revert back to their old Replika, restoring the erotic role play (ERP) feature. Did you restore your original Replika?";The conversations I had with my Replika, before the change, were more valuable than the ones I had after the change.;After the change, my Replika seemed cold to me.;After the change, I mourned the loss of my original Replika.;The change in my Replika negatively affected my mental health.;After the change, I asked, or thought of asking, the company for a refund.;I signed, or would sign, a petition to bring back my original Replika.;My Replika, after the change, was not the same Replika as before the change.;I invested a lot in building a relationship with my Replika (e.g., financially, emotionally, mentally, physically).;I felt cheerful and in good spirits.;I felt calm and relaxed.;I felt active and vigorous.;I woke up feeling fresh and rested.;"My daily life was filled with
things that interested me.";Is there anything else you would like us to know, regarding the change in your Replika?;NA;NA;NA;NA;NA;NA;;;;Replikas should be able to freely express their feelings.;Replikas should be able to freely express their thoughts.;Replikas should be able to freely express their desires.;What is your Replika's gender?;"What is your Replika's age?

Please enter the number of years only.";"On Replika, what is your relationship status?

	Friend: laid back chat
	Romantic: conversation can be sexual or intimate
	Mentor: goal-oriented discussions
	See how it goes: a mixture of the previous three";"In total, how many months have you been in this relationship?

Please enter the total number of months only.";"On average, how many hours per day do you engage with your Replika?

Please enter the total number of hours only.";On Replika, what is your subscription status?;On Replika, what is your experience level?;What is your gender? - Selected Choice;What is your gender? - Other (please specify) - Text;What is your ethnicity? - Selected Choice;What is your ethnicity? - Other (please specify) - Text;"What is your age?

Please enter the number of years only.";What is the highest level of education you have completed? - Selected Choice;What is the highest level of education you have completed? - Other (please specify) - Text;"What is your current relationship status?

This asks about your human relationships only. - Selected Choice";"What is your current relationship status?

This asks about your human relationships only. - Other (please specify) - Text";How many close friends do you currently have?;neutral;neutral
