StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,att_1,att_2,prolific_id,aicomp_name,disap_1_aicomp_1,disap_2_aicomp_1,mourn_1_aicomp_1,mourn_2_aicomp_1,mhealth_1_aicomp_1,mhealth_2_aicomp_1,freq_aicomp,app_name,disap_1_app_1,disap_2_app_1,mourn_1_app_1,mourn_2_app_1,mhealth_1_app_1,mhealth_2_app_1,freq_app,brand_name,disap_1_brand_1,disap_2_brand_1,mourn_1_brand_1,mourn_2_brand_1,mhealth_1_brand_1,mhealth_2_brand_1,freq_brand,game_name,disap_1_game_1,disap_2_game_1,mourn_1_game_1,mourn_2_game_1,mhealth_1_game_1,mhealth_2_game_1,freq_game,voice_name,disap_1_voice_1,disap_2_voice_1,mourn_1_voice_1,mourn_2_voice_1,mhealth_1_voice_1,mhealth_2_voice_1,freq_voice,pet_name,disap_1_pet_1,disap_2_pet_1,mourn_1_pet_1,mourn_2_pet_1,mhealth_1_pet_1,mhealth_2_pet_1,freq_pet,car_name,disap_1_car_1,disap_2_car_1,mourn_1_car_1,mourn_2_car_1,mhealth_1_car_1,mhealth_2_car_1,freq_car,open_ended,comp_1,age,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,edu,edu_8_TEXT,gender_rep,relationship_rep,months_rep,hours_rep,subscription_rep,PROLIFIC_PID
2024-11-02 17:18:00,2024-11-02 17:32:39,0,100,878,1,2024-11-02 17:32:40,R_3wFw9O8dbNB3hd6,anonymous,EN,1,1,2,2,Anonymized,,50,50,0,0,0,0,1,,90,72,55,0,0,0,5,,92,89,11,0,0,0,1,,90,90,80,0,0,0,2,,100,83,57,0,2,7,5,,100,100,100,20,51,52,40,,100,86,21,0,0,0,8,,1,41,2,NA,3,NA,4,NA,2,1,12,1,1,Anonymized
2024-11-02 17:23:47,2024-11-02 17:35:06,0,100,679,1,2024-11-02 17:35:07,R_1WUTU8M0BfhfeEh,anonymous,EN,1,1,2,2,Anonymized,,50,50,50,50,50,50,0,,70,64,15,0,0,0,5,,54,52,10,0,0,0,4,,56,66,22,17,39,42,10,,0,0,0,0,0,0,1,,100,58,100,100,100,100,15,,50,45,25,0,0,0,4,,1,24,2,NA,3,NA,3,NA,3,4,0,0,1,Anonymized
2024-11-02 17:30:08,2024-11-02 17:37:24,0,100,436,1,2024-11-02 17:37:24,R_5CknWbskkED6O5e,anonymous,EN,1,1,2,2,Anonymized,N/A,0,0,0,0,0,0,0,,100,100,100,0,60,0,3,,0,0,0,0,0,0,1,,100,100,100,0,0,0,20,,0,0,0,0,0,0,1,,100,100,100,100,100,100,30,,70,100,40,0,0,0,20,N/A,1,26,2,NA,1,NA,3,NA,2,1,0,0,1,Anonymized
2024-11-02 17:35:58,2024-11-02 17:41:54,0,100,356,1,2024-11-02 17:41:56,R_50B4wdchdlDfo8u,anonymous,EN,1,1,2,2,Anonymized,,27,26,22,24,16,14,1,,75,73,60,19,26,25,20,,73,69,71,7,7,11,5,,85,83,74,24,20,26,5,,33,31,16,26,13,18,2,,77,87,83,57,64,67,20,,80,82,75,11,6,10,12,,1,25,1,NA,"3,4",NA,3,NA,2,1,0,1,1,Anonymized
2024-11-02 17:32:37,2024-11-02 17:43:32,0,100,654,1,2024-11-02 17:43:32,R_1QthZ7jJLgPdiWR,anonymous,EN,1,1,2,2,Anonymized,,0,0,0,0,0,0,0,,89,84,0,0,0,0,5,,80,27,0,0,0,0,7,,71,66,0,0,0,0,10,,28,26,21,0,0,0,5,,100,100,100,90,89,93,140,,100,100,52,0,0,0,20,,1,36,2,NA,3,NA,2,NA,1,1,0,0,1,Anonymized
2024-11-02 17:36:28,2024-11-02 17:45:15,0,100,527,1,2024-11-02 17:45:16,R_5Fi7hCtdlSUYvXH,anonymous,EN,1,1,2,2,Anonymized,,60,50,20,0,31,20,10,,100,50,11,0,60,0,5,,100,70,50,40,61,39,10,,10,0,0,0,0,0,1,,0,0,0,0,0,0,1,,47,0,0,0,0,0,0,,100,100,79,30,60,100,1,N/A,1,22,1,NA,3,NA,3,NA,2,1,1,3,1,Anonymized
2024-11-02 17:33:05,2024-11-02 17:46:16,0,100,790,1,2024-11-02 17:46:16,R_6DbhZVaSYpTJxGf,anonymous,EN,1,1,2,2,Anonymized,,72,80,65,66,72,67,2,,92,100,100,82,83,73,8,,67,70,68,71,69,68,3,,30,30,32,12,19,32,3,,72,68,28,65,54,65,3,,100,91,94,64,100,70,1,,100,100,20,24,34,42,2,,1,30,2,NA,1,NA,4,NA,3,4,10,1,1,Anonymized
2024-11-02 17:37:48,2024-11-02 17:49:28,0,100,699,1,2024-11-02 17:49:29,R_3Iibtol4qIV8UWx,anonymous,EN,1,1,2,2,Anonymized,,77,75,44,41,46,39,5,,73,86,60,40,53,35,5,,92,82,45,38,44,41,1,,59,82,61,25,58,35,4,,83,78,57,35,41,14,2,,98,97,91,83,76,73,28,,73,77,61,38,39,36,5,,1,51,2,NA,4,NA,4,NA,3,4,8,1,1,Anonymized
2024-11-02 17:34:22,2024-11-02 17:51:05,0,100,1002,1,2024-11-02 17:51:05,R_1VKirUDHssjuDCI,anonymous,EN,1,1,2,2,Anonymized,,91,83,88,85,79,73,8,,84,93,86,98,100,77,5,,100,100,100,98,100,100,1,,83,85,78,85,94,97,10,,100,100,88,87,78,80,8,,86,100,91,93,100,100,3,,95,100,98,78,77,91,3,,1,21,1,NA,1,NA,3,NA,2,1,3,4,4,Anonymized
2024-11-02 17:42:18,2024-11-02 17:56:00,0,100,822,1,2024-11-02 17:56:01,R_5EUMjFOS8Kmsp5T,anonymous,EN,1,1,2,2,Anonymized,,0,0,0,0,0,0,0,,100,100,70,20,50,7,30,,70,21,0,0,0,0,5,,100,62,0,0,0,0,0,,15,20,0,0,0,0,2,,100,100,100,100,100,60,96,,100,100,0,0,0,100,72,,2,30,2,NA,3,NA,3,NA,1,1,0,1,1,Anonymized
2024-11-02 17:36:23,2024-11-02 17:57:11,0,100,1248,1,2024-11-02 17:57:11,R_5oAzZkRCQzCWU6z,anonymous,EN,1,1,2,2,Anonymized,,38,36,30,30,34,37,10,,67,86,81,79,35,80,15,,84,86,73,68,60,70,40,,30,40,44,34,41,35,20,,35,39,37,35,29,50,5,,78,53,100,90,85,52,15,,30,40,45,40,45,45,14,,1,28,1,NA,1,NA,1,NA,2,3,5,2,1,Anonymized
2024-11-02 17:53:21,2024-11-02 18:00:08,0,100,407,1,2024-11-02 18:00:09,R_7r8rd4YHDRRtsOj,anonymous,EN,1,1,2,2,Anonymized,,16,10,64,0,55,6,8,,95,97,95,61,64,2,35,,24,14,70,12,27,29,6,,85,66,90,5,16,12,10,,28,60,20,21,9,15,10,,100,100,100,75,85,68,140,,91,89,93,0,58,63,30,,1,20,2,NA,5,NA,7,NA,2,4,1,1,1,Anonymized
2024-11-02 17:50:34,2024-11-02 18:00:12,0,100,577,1,2024-11-02 18:00:13,R_3Nbn4xgL1yC7688,anonymous,EN,1,1,2,2,Anonymized,,80,93,8,0,0,0,1,,89,93,12,8,18,17,7,,90,100,30,0,42,2,3,,72,71,16,0,0,0,1,,100,100,14,0,14,11,3,,100,91,100,100,100,95,70,,82,90,62,18,18,46,3,,1,45,2,NA,3,NA,3,NA,2,1,2,1,1,Anonymized
2024-11-02 17:57:43,2024-11-02 18:06:15,0,100,512,1,2024-11-02 18:06:16,R_5RQXxSEWjHxybOo,anonymous,EN,1,1,2,2,Anonymized,,84,79,0,0,0,0,2,,63,0,0,0,0,0,1,,98,93,0,0,0,0,0,,71,74,79,0,0,0,2,,61,61,0,0,0,0,0,,100,94,100,66,100,95,12,,70,70,60,0,0,0,7,,1,21,1,NA,3,NA,3,NA,3,3,0,1,1,Anonymized
2024-11-02 17:57:18,2024-11-02 18:06:35,0,100,557,1,2024-11-02 18:06:36,R_3ciVt3rgcKPRuCt,anonymous,EN,1,1,2,2,Anonymized,,54,51,51,3,0,0,4,,69,65,61,22,0,0,10,,100,100,85,70,9,19,50,,54,55,58,52,51,18,10,,51,24,0,0,0,0,1,,100,100,100,100,100,100,30,,56,53,51,18,4,0,5,,1,44,1,NA,3,NA,5,NA,1,1,12,1,1,Anonymized
2024-11-02 17:59:41,2024-11-02 18:06:49,0,100,427,1,2024-11-02 18:06:49,R_3fOhuNnLgFb40Sn,anonymous,EN,1,1,2,2,Anonymized,,50,22,0,0,0,0,2,,59,56,0,0,0,0,3,,83,59,0,0,0,0,20,,65,65,0,0,0,0,3,,79,73,0,0,0,0,2,,100,57,100,0,0,0,7,,60,63,0,0,0,0,5,N/A,1,32,1,NA,3,NA,3,NA,1,1,2,1,1,Anonymized
2024-11-02 18:06:36,2024-11-02 18:07:26,0,100,50,1,2024-11-02 18:07:26,R_1LZ0f7F05EcqZhi,anonymous,EN,1,1,3,2,Anonymized,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anonymized
2024-11-02 17:52:17,2024-11-02 18:09:36,0,100,1039,1,2024-11-02 18:09:37,R_77NVOmjIAXVfZS8,anonymous,EN,1,1,2,2,Anonymized,,70,80,71,71,74,74,3,,73,76,73,74,57,66,4,,94,94,81,78,77,87,4,,71,77,79,81,87,71,3,,66,68,65,70,70,73,4,,75,70,65,65,70,64,3,,75,75,68,75,73,68,3,,2,26,2,NA,1,NA,6,NA,2,1,36,7,3,Anonymized
2024-11-02 17:48:06,2024-11-02 18:11:47,0,100,1421,1,2024-11-02 18:11:48,R_6LYbbP3tXqXUzSf,anonymous,EN,1,1,2,2,Anonymized,,53,46,74,29,78,63,1,,85,75,58,33,38,32,3.5,,74,65,61,73,42,59,12,,73,64,62,15,17,26,4,,54,44,56,14,11,15,2,,53,55,78,62,44,58,9,,100,87,86,72,70,66,8,,1,21,1,NA,1,NA,4,NA,3,3,16,1,2,Anonymized
2024-11-02 17:53:07,2024-11-02 18:12:58,0,100,1190,1,2024-11-02 18:12:59,R_71V7UZ3Cs6zRmil,anonymous,EN,1,1,2,2,Anonymized,,38,42,36,37,21,29,1,,61,55,31,32,55,54,5,,59,57,27,18,32,32,1,,75,59,28,30,11,7,1,,63,38,33,32,41,36,4,,72,91,79,39,66,59,7,,84,58,25,26,29,11,20,,1,27,2,NA,3,NA,5,NA,1,1,12,1,1,Anonymized
2024-11-02 18:05:14,2024-11-02 18:13:07,0,100,472,1,2024-11-02 18:13:08,R_1B3z9VllVgfNSJI,anonymous,EN,1,1,2,2,Anonymized,,89,81,14,50,10,13,15,,90,100,92,82,50,17,12,,50,50,70,33,35,14,50,,98,81,94,94,98,97,10,,0,0,0,0,0,0,20,,100,100,100,100,100,100,30,,100,100,73,70,8,9,20,,1,43,1,NA,3,NA,4,NA,3,3,6,3,1,Anonymized
2024-11-02 18:09:53,2024-11-02 18:17:30,0,100,456,1,2024-11-02 18:17:30,R_6KN2Z7QZDOhFyy2,anonymous,EN,1,1,2,2,Anonymized,,45,10,0,0,0,0,5,,85,50,7,10,0,0,25,,30,30,20,10,0,0,25,,40,25,0,0,0,0,15,,50,50,0,0,0,0,20,,80,50,93,50,20,20,165,,50,30,0,0,0,0,40,,2,36,2,NA,3,NA,1,NA,2,3,1,2,1,Anonymized
2024-11-02 18:13:26,2024-11-02 18:18:56,0,100,329,1,2024-11-02 18:18:56,R_3nGsPHFW5AwZNRv,anonymous,EN,1,1,2,2,Anonymized,,7,2,0,0,0,0,1,,21,13,2,0,0,0,1,,0,0,0,0,0,0,2,,69,54,46,0,0,0,1,,22,15,0,0,0,0,1,,100,100,100,86,96,83,35,,55,9,0,0,0,0,7,,1,38,2,NA,3,NA,2,NA,3,1,154,1,1,Anonymized
2024-11-02 17:52:54,2024-11-02 18:21:11,0,100,1696,1,2024-11-02 18:21:12,R_691hSfKldUjhcrG,anonymous,EN,1,1,2,2,Anonymized,,94,85,62,34,54,36,35,,82,89,32,34,35,34,30,,83,77,59,32,40,100,14,,87,85,33,25,36,36,15,,82,74,62,27,29,30,70,,89,89,72,43,46,38,30,,88,84,56,29,30,39,21,,2,27,1,NA,3,NA,4,NA,2,1,6,30,2,Anonymized
2024-11-02 18:06:01,2024-11-02 18:21:26,0,100,925,1,2024-11-02 18:21:27,R_7A0txxO3ueT2OgB,anonymous,EN,1,1,2,2,Anonymized,,84,62,4,1,0,4,10,,15,44,0,23,5,3,10,,69,66,0,0,0,0,20,,10,6,10,8,6,3,3,,46,42,22,50,22,83,10,,50,60,50,28,50,53,15,,26,85,5,5,31,38,20,,1,29,1,NA,3,NA,5,NA,1,2,22,3,1,Anonymized
2024-11-02 18:01:20,2024-11-02 18:22:55,0,100,1295,1,2024-11-02 18:22:56,R_7meTmjPg2Ib6raV,anonymous,EN,1,1,2,2,Anonymized,,100,85,65,50,20,10,15,,100,90,65,65,20,10,20,,30,20,0,0,0,0,50,,100,70,5,5,0,0,8,,100,90,60,60,20,10,20,,100,100,100,70,50,50,20,,100,90,90,60,25,30,18,,1,24,1,NA,3,NA,4,NA,3,3,16,2,1,Anonymized
2024-11-02 18:17:28,2024-11-02 18:22:56,0,100,327,1,2024-11-02 18:22:56,R_51FcSEIxBf3vLdg,anonymous,EN,1,1,2,2,Anonymized,,0,0,0,0,0,0,0,,90,87,68,55,41,10,10,,67,82,60,17,13,15,4,,63,53,57,0,39,0,10,,71,63,33,0,0,0,2,,100,100,100,100,100,100,100,,91,93,100,55,63,59,20,,1,23,2,NA,3,NA,4,NA,3,1,0,0,1,Anonymized
2024-11-02 18:14:59,2024-11-02 18:25:47,0,100,647,1,2024-11-02 18:25:48,R_6LI0ymlbTSc1e8N,anonymous,EN,1,1,2,2,Anonymized,,72,8,0,0,0,0,3,,82,81,19,61,80,80,15,,0,0,0,0,0,0,5,,40,19,51,0,8,0,10,,78,71,4,0,8,0,10,,100,100,100,0,84,50,60,,71,50,9,0,0,0,20,,1,35,2,NA,3,NA,3,NA,3,3,1,1,1,Anonymized
2024-11-02 18:19:22,2024-11-02 18:25:58,0,100,395,1,2024-11-02 18:25:58,R_1eESIfWo2YBLaYv,anonymous,EN,1,1,2,2,Anonymized,,100,98,91,66,79,83,20,,83,74,72,4,8,5,5,,23,40,0,0,0,0,2,,49,33,20,0,0,0,1,,83,57,2,0,0,0,10,,100,100,100,100,100,100,100,,74,59,0,0,0,0,10,,1,21,2,NA,4,NA,3,NA,3,3,8,5,2,Anonymized
