"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","consent","att_1","att_2","prolific_id","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","prolific_id_anon"
"43","2024-01-30 14:07:06","2024-01-30 14:08:03","IP Address","100","56","True","2024-01-30 14:08:04","R_1oQiYPb1mq4X5hD","anonymous","EN","0.6000000238418579","I agree to participate in this study","Paul","Purple",968,"no","no","no","no","no","no","no","no","no",968
"44","2024-01-30 14:07:35","2024-01-30 14:08:27","IP Address","100","52","True","2024-01-30 14:08:29","R_5STfuFD5sIl2E6J","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",5316,"yes","yes","yes","yes","yes","yes","yes","no","no",5316
"45","2024-01-30 14:06:23","2024-01-30 14:08:28","IP Address","100","124","True","2024-01-30 14:08:29","R_6vrkGGWXiNSXDXP","anonymous","EN","1","I agree to participate in this study","Paul","Purple",2874,"yes","yes","no","yes","yes","yes","yes","no","no",2874
"46","2024-01-30 14:07:10","2024-01-30 14:08:49","IP Address","100","98","True","2024-01-30 14:08:49","R_7HqypyljUwyEuW9","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",7082,"no","no","no","yes","no","no","yes","yes","no",7082
"47","2024-01-30 14:07:38","2024-01-30 14:09:37","IP Address","100","118","True","2024-01-30 14:09:38","R_6nVM3zzA5VsGTtE","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",2309,"yes","yes","no","yes","yes","yes","yes","no","no",2309
"48","2024-01-30 14:08:41","2024-01-30 14:09:48","IP Address","100","67","True","2024-01-30 14:09:49","R_13x1pTkkgXscIVZ","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",75,"yes","no","no","yes","no","no","yes","no","no",75
"49","2024-01-30 14:06:19","2024-01-30 14:09:57","IP Address","100","218","True","2024-01-30 14:09:58","R_5GICBWFyVgWl2BH","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",6779,"yes","no","no","yes","no","no","yes","no","no",6779
"50","2024-01-30 14:08:33","2024-01-30 14:10:17","IP Address","100","104","True","2024-01-30 14:10:18","R_1WCfsrkXcDONiuo","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",6809,"yes","no","no","yes","yes","yes","yes","yes","no",6809
"51","2024-01-30 14:09:09","2024-01-30 14:10:22","IP Address","100","72","True","2024-01-30 14:10:22","R_7f7ybtdEgT3Yd1A","anonymous","EN","1","I agree to participate in this study","Paul","Purple",5035,"yes","yes","no","yes","yes","no","yes","no","no",5035
"52","2024-01-30 14:09:20","2024-01-30 14:10:24","IP Address","100","63","True","2024-01-30 14:10:25","R_53fmEWyek8YzC3c","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3137,"yes","no","no","no","no","no","no","no","no",3137
"53","2024-01-30 14:09:52","2024-01-30 14:10:27","IP Address","100","34","True","2024-01-30 14:10:28","R_51X2MsIWlF9ph1n","anonymous","EN","0.6000000238418579","I agree to participate in this study","Paul","Purple",2820,"yes","yes","yes","yes","yes","yes","yes","no","no",2820
"54","2024-01-30 14:09:32","2024-01-30 14:10:53","IP Address","100","81","True","2024-01-30 14:10:55","R_6OnvBR7c2o57x1D","anonymous","EN","1","I agree to participate in this study","Paul","Purple",1196,"yes","no","no","yes","yes","no","yes","no","no",1196
"55","2024-01-30 14:09:31","2024-01-30 14:12:09","IP Address","100","157","True","2024-01-30 14:12:10","R_7cZiBO9phiX0iRP","anonymous","EN","1","I agree to participate in this study","Paul","Purple",2313,"yes","yes","yes","yes","yes","yes","yes","no","no",2313
"56","2024-01-30 14:11:40","2024-01-30 14:12:34","IP Address","100","53","True","2024-01-30 14:12:35","R_16kzuN8FhJQVbG5","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3933,"yes","yes","no","no","no","yes","yes","no","no",3933
"57","2024-01-30 14:11:38","2024-01-30 14:12:35","IP Address","100","56","True","2024-01-30 14:12:36","R_5M9bsulFvwAptT3","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3838,"no","yes","no","yes","yes","yes","yes","no","no",3838
"58","2024-01-30 14:12:21","2024-01-30 14:13:18","IP Address","100","57","True","2024-01-30 14:13:19","R_5CkVLkbXxlpzG8N","anonymous","EN","1","I agree to participate in this study","Paul","Purple",1601,"no","yes","no","yes","yes","yes","yes","yes","yes",1601
"59","2024-01-30 14:12:07","2024-01-30 14:13:35","IP Address","100","88","True","2024-01-30 14:13:36","R_3PiZdE6pYD7ReiX","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",4415,"no","no","no","no","no","no","yes","no","no",4415
"60","2024-01-30 14:13:18","2024-01-30 14:14:07","IP Address","100","49","True","2024-01-30 14:14:08","R_1D0HvjnYHf41tAc","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",2777,"yes","yes","no","yes","no","yes","yes","no","no",2777
"61","2024-01-30 14:13:56","2024-01-30 14:15:03","IP Address","100","67","True","2024-01-30 14:15:04","R_6oBYj7DwxXv0XUB","anonymous","EN","1","I agree to participate in this study","Paul","Purple",1490,"yes","yes","yes","yes","no","yes","yes","yes","no",1490
"62","2024-01-30 14:13:48","2024-01-30 14:15:08","IP Address","100","80","True","2024-01-30 14:15:10","R_7zAMAG3wWpge4z7","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3494,"yes","yes","no","no","yes","yes","yes","no","no",3494
"63","2024-01-30 14:14:52","2024-01-30 14:15:50","IP Address","100","57","True","2024-01-30 14:15:51","R_6NlTY2tH0Zjc2FS","anonymous","EN","1","I agree to participate in this study","Paul","Purple",2007,"yes","yes","yes","no","no","no","yes","no","no",2007
"64","2024-01-30 14:15:17","2024-01-30 14:16:10","IP Address","100","53","True","2024-01-30 14:16:12","R_7NKUlE3VompLet0","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3681,"yes","yes","no","yes","no","no","no","yes","no",3681
"65","2024-01-30 14:15:32","2024-01-30 14:16:47","IP Address","100","75","True","2024-01-30 14:16:48","R_7EuqcsQQMGSx7wX","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3709,"yes","yes","no","yes","yes","yes","yes","no","no",3709
"66","2024-01-30 14:15:53","2024-01-30 14:16:53","IP Address","100","59","True","2024-01-30 14:16:54","R_1putqUZp7HJaK26","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",4683,"yes","yes","yes","yes","no","yes","no","no","no",4683
"67","2024-01-30 14:16:25","2024-01-30 14:17:55","IP Address","100","89","True","2024-01-30 14:17:56","R_7ZEwhwUEVRwRMr6","anonymous","EN","1","I agree to participate in this study","Paul","Purple",6850,"yes","no","yes","yes","no","yes","yes","no","no",6850
"68","2024-01-30 14:16:53","2024-01-30 14:18:09","IP Address","100","75","True","2024-01-30 14:18:10","R_7GNrXlMceIhkYML","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",409,"no","no","no","yes","no","yes","no","no","no",409
"69","2024-01-30 14:17:51","2024-01-30 14:18:32","IP Address","100","40","True","2024-01-30 14:18:33","R_3KZauVXP6IYKKh5","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",4946,"yes","no","yes","yes","yes","yes","yes","no","no",4946
"70","2024-01-30 14:18:05","2024-01-30 14:18:51","IP Address","100","46","True","2024-01-30 14:18:52","R_7nkFi5zKhrqigeM","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",7014,"yes","yes","yes","yes","yes","yes","no","yes","yes",7014
"71","2024-01-30 14:18:20","2024-01-30 14:19:07","IP Address","100","47","True","2024-01-30 14:19:08","R_5QW5vWeoPAmy2Oo","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",6981,"yes","yes","yes","yes","no","yes","yes","no","yes",6981
"72","2024-01-30 14:18:07","2024-01-30 14:19:14","IP Address","100","66","True","2024-01-30 14:19:15","R_6nc2AM8kUZkBPG1","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",65,"no","yes","no","yes","yes","yes","yes","no","no",65
"73","2024-01-30 14:19:18","2024-01-30 14:20:26","IP Address","100","67","True","2024-01-30 14:20:26","R_1saY4sMB4m93cwo","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3178,"no","yes","no","yes","yes","no","yes","no","no",3178
"74","2024-01-30 14:19:06","2024-01-30 14:21:07","IP Address","100","121","True","2024-01-30 14:21:08","R_5j1dx5LUwoyUU9j","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",5936,"no","yes","no","yes","no","no","yes","no","no",5936
"75","2024-01-30 14:20:03","2024-01-30 14:21:22","IP Address","100","78","True","2024-01-30 14:21:22","R_5kyYgWlDNcV0tpL","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",852,"yes","yes","yes","yes","no","yes","yes","no","no",852
"76","2024-01-30 14:19:20","2024-01-30 14:21:26","IP Address","100","126","True","2024-01-30 14:21:27","R_3qalftv9QaM71DZ","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",1146,"yes","no","no","no","yes","no","yes","no","no",1146
"77","2024-01-30 14:20:19","2024-01-30 14:21:30","IP Address","100","70","True","2024-01-30 14:21:30","R_3Im9We7cCcXYD0K","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",1874,"yes","no","yes","yes","yes","yes","yes","no","no",1874
"78","2024-01-30 14:21:24","2024-01-30 14:22:03","IP Address","100","38","True","2024-01-30 14:22:04","R_6Ei65uepa1etuXp","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",1941,"yes","no","yes","yes","yes","yes","yes","no","no",1941
"79","2024-01-30 14:18:35","2024-01-30 14:22:13","IP Address","100","217","True","2024-01-30 14:22:13","R_7cZFjAcXj7XClzu","anonymous","EN","0.699999988079071","I agree to participate in this study","Paul","Purple",2390,"yes","yes","yes","yes","yes","yes","yes","no","no",2390
"80","2024-01-30 14:21:36","2024-01-30 14:22:14","IP Address","100","38","True","2024-01-30 14:22:15","R_3LRoDzPRo9ZZbC3","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3636,"no","no","no","yes","no","yes","yes","no","no",3636
"81","2024-01-30 14:21:14","2024-01-30 14:22:19","IP Address","100","64","True","2024-01-30 14:22:20","R_5RrLvqcl7pfiw4u","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",10,"yes","no","no","yes","yes","yes","yes","no","no",10
"82","2024-01-30 14:21:53","2024-01-30 14:22:38","IP Address","100","44","True","2024-01-30 14:22:39","R_1KqGHOydQ8ZB3R4","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3691,"yes","no","no","yes","yes","no","yes","no","no",3691
"83","2024-01-30 14:22:17","2024-01-30 14:22:52","IP Address","100","35","True","2024-01-30 14:22:53","R_1VeXgdtb6mj0To2","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3794,"no","yes","no","no","no","yes","yes","no","no",3794
"84","2024-01-30 14:21:11","2024-01-30 14:23:06","IP Address","100","115","True","2024-01-30 14:23:07","R_3SHQWFZq0Rjehmk","anonymous","EN","1","I agree to participate in this study","Paul","Green",1,"","","","","","","","","",1
"85","2024-01-30 14:22:44","2024-01-30 14:23:28","IP Address","100","44","True","2024-01-30 14:23:29","R_3RPpYvw1AtsVe86","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",4148,"yes","yes","no","yes","no","yes","yes","no","no",4148
"86","2024-01-30 14:23:09","2024-01-30 14:24:02","IP Address","100","53","True","2024-01-30 14:24:03","R_5YQkzgf8qfNJNjS","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",1842,"yes","yes","yes","no","yes","yes","yes","no","no",1842
"87","2024-01-30 14:23:19","2024-01-30 14:24:09","IP Address","100","49","True","2024-01-30 14:24:09","R_3OsCqtBEBd6IIKd","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",1069,"no","yes","yes","no","yes","no","yes","no","no",1069
"88","2024-01-30 14:23:37","2024-01-30 14:24:17","IP Address","100","40","True","2024-01-30 14:24:19","R_7L23PN3MDvjPYDb","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",3442,"yes","yes","no","yes","no","yes","yes","no","no",3442
"89","2024-01-30 14:24:18","2024-01-30 14:25:03","IP Address","100","44","True","2024-01-30 14:25:04","R_5PzqrnGgQ37hRlE","anonymous","EN","0.699999988079071","I agree to participate in this study","Paul","Purple",452,"yes","yes","yes","yes","no","yes","yes","no","no",452
"90","2024-01-30 14:24:10","2024-01-30 14:25:16","IP Address","100","65","True","2024-01-30 14:25:17","R_7lzxL9bR2hgvS8Z","anonymous","EN","1","I agree to participate in this study","Paul","Purple",3120,"yes","no","no","yes","yes","yes","yes","no","no",3120
"91","2024-01-30 14:24:22","2024-01-30 14:25:25","IP Address","100","62","True","2024-01-30 14:25:26","R_7GrB1gV4qDtR4JL","anonymous","EN","1","I agree to participate in this study","Paul","Purple",3862,"yes","yes","yes","yes","yes","yes","yes","no","no",3862
"92","2024-01-30 14:24:27","2024-01-30 14:25:28","IP Address","100","60","True","2024-01-30 14:25:29","R_7Ms8QAYRoioEmG2","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",348,"yes","yes","no","yes","yes","yes","yes","yes","no",348
"93","2024-01-30 14:24:01","2024-01-30 14:25:46","IP Address","100","105","True","2024-01-30 14:25:47","R_7Okp3qayfj6742z","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",1717,"no","yes","yes","yes","yes","yes","yes","no","no",1717
"94","2024-01-30 14:25:05","2024-01-30 14:26:03","IP Address","100","57","True","2024-01-30 14:26:03","R_1pJPkz6RsaLPLjE","anonymous","EN","0.8999999761581421","I agree to participate in this study","Paul","Purple",7299,"yes","yes","yes","no","yes","no","yes","yes","no",7299
